Times sorted by which is most common (cutoff date is 2023-02-21):
Occurence: 3    Time: 259
Occurence: 3    Time: 252
Occurence: 3    Time: 250
Occurence: 3    Time: 243
Occurence: 3    Time: 242
Occurence: 3    Time: 240
Occurence: 3    Time: 224
Occurence: 3    Time: 208
Occurence: 3    Time: 203
Occurence: 3    Time: 197
Occurence: 3    Time: 172
Occurence: 3    Time: 17
Occurence: 3    Time: 16
Occurence: 3    Time: 12
Occurence: 2    Time: 548
Occurence: 2    Time: 498
Occurence: 2    Time: 417
Occurence: 2    Time: 386
Occurence: 2    Time: 379
Occurence: 2    Time: 377
Occurence: 2    Time: 370
Occurence: 2    Time: 369
Occurence: 2    Time: 358
Occurence: 2    Time: 346
Occurence: 2    Time: 344
Occurence: 2    Time: 333
Occurence: 2    Time: 330
Occurence: 2    Time: 329
Occurence: 2    Time: 328
Occurence: 2    Time: 324
Occurence: 2    Time: 321
Occurence: 2    Time: 319
Occurence: 2    Time: 311
Occurence: 2    Time: 300
Occurence: 2    Time: 298
Occurence: 2    Time: 297
Occurence: 2    Time: 291
Occurence: 2    Time: 272
Occurence: 2    Time: 270
Occurence: 2    Time: 269
Occurence: 2    Time: 263
Occurence: 2    Time: 260
Occurence: 2    Time: 258
Occurence: 2    Time: 256
Occurence: 2    Time: 249
Occurence: 2    Time: 237
Occurence: 2    Time: 231
Occurence: 2    Time: 223
Occurence: 2    Time: 222
Occurence: 2    Time: 216
Occurence: 2    Time: 192
Occurence: 2    Time: 191
Occurence: 2    Time: 189
Occurence: 2    Time: 15
Occurence: 1    Time: 1023
Occurence: 1    Time: 987
Occurence: 1    Time: 943
Occurence: 1    Time: 900
Occurence: 1    Time: 890
Occurence: 1    Time: 829
Occurence: 1    Time: 812
Occurence: 1    Time: 791
Occurence: 1    Time: 775
Occurence: 1    Time: 703
Occurence: 1    Time: 667
Occurence: 1    Time: 652
Occurence: 1    Time: 636
Occurence: 1    Time: 604
Occurence: 1    Time: 601
Occurence: 1    Time: 579
Occurence: 1    Time: 577
Occurence: 1    Time: 565
Occurence: 1    Time: 555
Occurence: 1    Time: 545
Occurence: 1    Time: 533
Occurence: 1    Time: 522
Occurence: 1    Time: 521
Occurence: 1    Time: 519
Occurence: 1    Time: 518
Occurence: 1    Time: 514
Occurence: 1    Time: 509
Occurence: 1    Time: 503
Occurence: 1    Time: 496
Occurence: 1    Time: 495
Occurence: 1    Time: 489
Occurence: 1    Time: 482
Occurence: 1    Time: 474
Occurence: 1    Time: 473
Occurence: 1    Time: 465
Occurence: 1    Time: 464
Occurence: 1    Time: 463
Occurence: 1    Time: 446
